Albanie Tirana
Allemagne Berlin
Andorre Andorre_La_Vieille
Autriche Vienne
Belgique Bruxelles
Biélorussie Minsk
Bulgarie Sofia
Chypre Nicosie
Croatie Zagreb
Danemark Copenhague
Ecosse Edimbourg
Espagne Madrid
Estonie Tallinn
Finlande Helsinki
France Paris
Grande-Bretagne Londres
Grèce Athènes
Hongrie Budapest
Irlande Dublin
Irlande_du_Nord Belfast
Islande Reykjavik
Isle_of_Man Douglas
Italie Rome
Jersey Saint-Hélier
Lettonie Riga
Liechtenstein Vaduz
Lituanie Vilnius
Luxembourg Luxembourg
Malte La_Valette
Moldavie Chisinau
Monaco Monaco
Norvège Oslo
Pays-Bas Amsterdam
Pologne Varsovie
Portugal Lisbonne
Roumanie Bucarest
Saint-Marin Saint-Marin
Slovaquie Bratislava
Slovénie Ljubljana
Suède Stockholm
Suisse Berne
République_tchèque Prague
Vatican Cité_du_Vatican
Yougoslavie Belgrade
